,year,country,GDP
0,2015,Finland,-0.207928839905218
1,2015,Norway,2.17113665389528
2,2015,Sweden,-0.0467847449832651
3,2016,Finland,0.356684500891696
4,2016,Norway,3.5500000000000203
5,2016,Sweden,0.984269244577978
6,2017,Finland,0.754015047084413
7,2017,Norway,1.87510059552548
8,2017,Sweden,1.79449904665596
9,2018,Finland,1.08382098409299
10,2018,Norway,2.76483134528794
11,2018,Sweden,1.95353530127029
12,2019,Finland,1.02409392963429
13,2019,Norway,2.16773003305405
14,2019,Sweden,1.78415097403832
